GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-hadoop,com.hephec.bigdata.spring_hadoop,App,7,0,0,0,3,0,2,0,2,0
spring-hadoop,com.hephec.bigdata.spring_hadoop,JCocoMain,14,3,0,0,3,2,2,1,2,1
